id,treatment,choice_set,card,alternative,chosen,development,water,cultural,alt_label,dev_limited,dev_high,dev_com,wat_med,wat_low,cult_s,cult_sl,n_answered,complete,councillor,role,lim_money,res_money,com_money,med_money,low_money,occasion
1,1,1,1,1,1,Residential,High,Stables & landscape,Option A,0,1,0,0,0,0,1,4,1,0,Policy staff,0,0,0,0,0,11
1,1,1,1,2,0,Limited,Low,None,Option B,1,0,0,0,1,0,0,4,1,0,Policy staff,0,0,0,0,0,11
1,1,1,1,3,0,None,High,None,Status quo,0,0,0,0,0,0,0,4,1,0,Policy staff,0,0,0,0,0,11
1,1,2,3,1,0,Residential,Low,Stables & landscape,Option A,0,1,0,0,1,0,1,4,1,0,Policy staff,0,0,0,0,0,12
1,1,2,3,2,1,Limited,Medium,Stables,Option B,1,0,0,1,0,1,0,4,1,0,Policy staff,0,0,0,0,0,12
1,1,2,3,3,0,None,High,None,Status quo,0,0,0,0,0,0,0,4,1,0,Policy staff,0,0,0,0,0,12
1,1,3,4,1,1,Residential,High,Stables & landscape,Option A,0,1,0,0,0,0,1,4,1,0,Policy staff,0,0,0,0,0,13
1,1,3,4,2,0,Commercial,Medium,None,Option B,0,0,1,1,0,0,0,4,1,0,Policy staff,0,0,0,0,0,13
1,1,3,4,3,0,None,High,None,Status quo,0,0,0,0,0,0,0,4,1,0,Policy staff,0,0,0,0,0,13
1,1,4,8,1,0,Limited,Medium,Stables,Option A,1,0,0,1,0,1,0,4,1,0,Policy staff,0,0,0,0,0,14
1,1,4,8,2,1,Commercial,High,Stables,Option B,0,0,1,0,0,1,0,4,1,0,Policy staff,0,0,0,0,0,14
1,1,4,8,3,0,None,High,None,Status quo,0,0,0,0,0,0,0,4,1,0,Policy staff,0,0,0,0,0,14
2,3,1,6,1,0,Residential,Low,None,Option A,0,1,0,0,1,0,0,4,1,0,Other,0,1,0,0,1,21
2,3,1,6,2,1,Limited,High,Stables & landscape,Option B,1,0,0,0,0,0,1,4,1,0,Other,1,0,0,0,0,21
2,3,1,6,3,0,None,High,None,Status quo,0,0,0,0,0,0,0,4,1,0,Other,0,0,0,0,0,21
2,3,2,7,1,1,Commercial,High,Stables & landscape,Option A,0,0,1,0,0,0,1,4,1,0,Other,0,0,1,0,0,22
2,3,2,7,2,0,Residential,Medium,Stables & landscape,Option B,0,1,0,1,0,0,1,4,1,0,Other,0,1,0,1,0,22
2,3,2,7,3,0,None,High,None,Status quo,0,0,0,0,0,0,0,4,1,0,Other,0,0,0,0,0,22
2,3,3,8,1,0,Limited,Medium,Stables,Option A,1,0,0,1,0,1,0,4,1,0,Other,1,0,0,1,0,23
2,3,3,8,2,1,Commercial,High,Stables,Option B,0,0,1,0,0,1,0,4,1,0,Other,0,0,1,0,0,23
2,3,3,8,3,0,None,High,None,Status quo,0,0,0,0,0,0,0,4,1,0,Other,0,0,0,0,0,23
2,3,4,12,1,1,Limited,Medium,Stables,Option A,1,0,0,1,0,1,0,4,1,0,Other,1,0,0,1,0,24
2,3,4,12,2,0,Residential,Low,Stables,Option B,0,1,0,0,1,1,0,4,1,0,Other,0,1,0,0,1,24
2,3,4,12,3,0,None,High,None,Status quo,0,0,0,0,0,0,0,4,1,0,Other,0,0,0,0,0,24
3,3,1,2,1,0,Commercial,Low,None,Option A,0,0,1,0,1,0,0,4,1,1,Councillor,0,0,1,0,1,31
3,3,1,2,2,1,Residential,High,Stables & landscape,Option B,0,1,0,0,0,0,1,4,1,1,Councillor,0,1,0,0,0,31
3,3,1,2,3,0,None,High,None,Status quo,0,0,0,0,0,0,0,4,1,1,Councillor,0,0,0,0,0,31
3,3,2,3,1,0,Residential,Low,Stables & landscape,Option A,0,1,0,0,1,0,1,4,1,1,Councillor,0,1,0,0,1,32
3,3,2,3,2,1,Limited,Medium,Stables,Option B,1,0,0,1,0,1,0,4,1,1,Councillor,1,0,0,1,0,32
3,3,2,3,3,0,None,High,None,Status quo,0,0,0,0,0,0,0,4,1,1,Councillor,0,0,0,0,0,32
3,3,3,5,1,0,Limited,Medium,Stables,Option A,1,0,0,1,0,1,0,4,1,1,Councillor,1,0,0,1,0,33
3,3,3,5,2,1,Residential,Medium,Stables & landscape,Option B,0,1,0,1,0,0,1,4,1,1,Councillor,0,1,0,1,0,33
3,3,3,5,3,0,None,High,None,Status quo,0,0,0,0,0,0,0,4,1,1,Councillor,0,0,0,0,0,33
3,3,4,11,1,0,Residential,Low,None,Option A,0,1,0,0,1,0,0,4,1,1,Councillor,0,1,0,0,1,34
